Track URI,Track Name,Album Name,Artist_Name,Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,region
spotify:track:5Sm1X46tna50RstHZvw072,Bitch Please,No Limit Top Dogg,Snoop Dogg;Xzibit,1999-01-01,234533,64,TRUE,warriorkid3000,2023-01-12T05:56:36Z,"g funk,west coast hiphop,gangsterrap,old school hiphop,hiphop,rap,hardcore hiphop",Priority Records,0.869,0.697,7,-4.639,1,0.187,0.00838,0,0.297,0.804,95.03,4,west
spotify:track:4AE7Lj39VnSZNOmGH2iZaq,Do For Love,R U Still Down? [Remember Me],2Pac,1997-01-01,281600,78,TRUE,warriorkid3000,2023-01-12T05:59:48Z,"old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop",Interscope,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95,4,west
spotify:track:306z41nX8H9JeLvdvQClwI,CEO,CEO,Snoop Dogg,2021-03-19,205170,33,TRUE,warriorkid3000,2023-01-14T05:49:39Z,"g funk,west coast hiphop,gangsterrap,old school hiphop,hiphop,rap",Doggy Style Records,0.844,0.59,1,-9.881,1,0.141,8.96e-5,0,0.111,0.216,102.01,4,west
spotify:track:5Tbpp3OLLClPJF8t1DmrFD,"Nuthin' But A ""G"" Thang",The Chronic,Dr. Dre;Snoop Dogg,1992-12-15,237573,77,TRUE,warriorkid3000,2023-04-28T04:25:30Z,"old school hiphop,g funk,gangsterrap,west coast hiphop,hiphop,rap","ARY, Inc. under exclusive license to Interscope Records",0.669,0.821,11,-4.37,0,0.29,0.00182,0,0.147,0.684,94.895,4,west
spotify:track:3AK1FxCiH9DQijxVHhW667,Deep Cover,Dr. Dre & Friends,Snoop Dogg;Dr. Dre,2003-11-24,252493,56,FALSE,warriorkid3000,2023-04-28T04:25:33Z,"g funk,west coast hiphop,gangsterrap,old school hiphop,hiphop,rap",K-Town Records,0.833,0.653,6,-7.28,1,0.231,0.0486,1.14e-6,0.362,0.381,95.037,4,west
spotify:track:5880eYQmXx3c3oD22IljIt,Why We Thugs,"Laugh Now, Cry Later",Ice Cube,2006-01-01,224106,64,TRUE,warriorkid3000,2023-04-28T04:25:54Z,"old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop",Virgin Records,0.683,0.59,1,-5.423,1,0.458,0.326,0,0.148,0.653,100.892,4,west
spotify:track:5242G8xCFpKoUkzvvUKYIL,Gangsta Bitch,Apache Ain't Shit,Apache,1993-03-18,284066,44,TRUE,warriorkid3000,2023-04-28T04:25:59Z,old school hiphop,"Tommy Boy Music, LLC",0.873,0.487,7,-14.872,1,0.412,0.141,0,0.269,0.611,97.445,4,west
spotify:track:5RGXoZt1qxmAErdhbyKJKq,Boyz-N-The-Hood,N.W.A. And The Posse,Eazy-E,1987-01-01,339893,66,TRUE,warriorkid3000,2023-07-04T20:38:48Z,"old school hiphop,gangsterrap,west coast hiphop,g funk",Priority Records,0.785,0.479,3,-10.247,1,0.362,0.0417,3.5e-5,0.334,0.727,87.691,4,west
spotify:track:60uesDF4UyLUs61FgiDkdp,Hello,War & Peace Vol. 2 (The Peace Disc),Ice Cube;Dr. Dre;MC Ren,2000-02-29,232533,65,TRUE,warriorkid3000,2024-05-09T04:24:49Z,"old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop,rap",EMI,0.903,0.61,10,-6.176,0,0.339,0.155,0,0.389,0.627,91.46,4,west
spotify:track:7sKt5Y2zJpYw78iAxndB8y,Only God Can Judge Me (ft. Rappin' 4-Tay),All Eyez On Me,2Pac;Rappin' 4-Tay,1996-02-13,296906,68,TRUE,warriorkid3000,2024-05-09T04:25:04Z,"old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop,hyphy","Amaru Entertainment, Inc./Interscope Records",0.802,0.787,11,-6.009,0,0.206,0.00127,1.81e-4,0.0763,0.806,90.189,4,west
spotify:track:4FI0rdztOAYJZMupujL5Gp,Fuck You,2001,Dr. Dre;Devin The Dude;Snoop Dogg,1999-11-16,205453,64,TRUE,warriorkid3000,2024-09-27T04:34:34Z,"old school hiphop,g funk,gangsterrap,west coast hiphop,hiphop,rap,dirty south rap",Aftermath,0.876,0.573,0,-3.764,1,0.431,0.294,0,0.121,0.756,92.236,4,west
spotify:track:1ohwrBQrxIlqMYfkoYERiN,Eazy-Duz-It,Eazy-Duz-It,Eazy-E;Dr. Dre;MC Ren,1988-09-13,259493,62,TRUE,warriorkid3000,2024-09-27T04:34:37Z,"old school hiphop,gangsterrap,west coast hiphop,g funk,hiphop,rap",FRONTLINE CATALOG (P81),0.827,0.728,2,-3.912,1,0.307,0.0768,0,0.237,0.692,90.872,4,west
spotify:track:4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,Operation Stackola,Luniz;Michael Marshall,1995-07-04,253533,75,FALSE,warriorkid3000,2024-10-10T04:48:43Z,"g funk,west coast hiphop,old school hiphop,braziliaanse bass",Virgin Records,0.584,0.706,10,-7.899,0,0.366,0.209,0,0.125,0.579,174.039,4,west
